"","datetime","X","date","water_temp","sea_water_temperature_qc_agg","month_yr","Station","TideHeight"
"73",2017-01-02 12:00:00,37,"2017-01-02",10.645,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.50100077763927
"75",2017-01-02 13:00:00,38,"2017-01-02",10.695,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.65075877627699
"77",2017-01-02 14:00:00,39,"2017-01-02",10.695,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.69199962822666
"81",2017-01-02 16:00:00,41,"2017-01-02",10.015,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.27349764359935
"99",2017-01-03 01:00:00,50,"2017-01-03",10.535,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.17636578424352
"101",2017-01-03 02:00:00,51,"2017-01-03",10.195,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.45525559798535
"103",2017-01-03 03:00:00,52,"2017-01-03",9.965,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.62111164927371
"105",2017-01-03 04:00:00,53,"2017-01-03",9.955,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.63348056000747
"107",2017-01-03 05:00:00,54,"2017-01-03",9.77,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.49679905422157
"109",2017-01-03 06:00:00,55,"2017-01-03",9.71,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.26894693663513
"111",2017-01-03 07:00:00,56,"2017-01-03",9.725,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.03846921086535
"119",2017-01-03 11:00:00,60,"2017-01-03",10.57,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.0488793616317
"121",2017-01-03 12:00:00,61,"2017-01-03",10.545,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.22760941719806
"123",2017-01-03 13:00:00,62,"2017-01-03",10.605,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.40572834193139
"125",2017-01-03 14:00:00,63,"2017-01-03",10.685,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.53566635505617
"127",2017-01-03 15:00:00,64,"2017-01-03",10.53,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.56110526794473
"129",2017-01-03 16:00:00,65,"2017-01-03",10.185,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.43702967927319
"131",2017-01-03 17:00:00,66,"2017-01-03",10,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.16066881615551
"147",2017-01-04 01:00:00,74,"2017-01-04",10.625,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.00483393493765
"149",2017-01-04 02:00:00,75,"2017-01-04",10.55,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.32354154821009
"153",2017-01-04 04:00:00,77,"2017-01-04",10.27,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.69928471455242
"155",2017-01-04 05:00:00,78,"2017-01-04",10.055,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.66767008672581
"157",2017-01-04 06:00:00,79,"2017-01-04",10.06,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.49092236118078
"159",2017-01-04 07:00:00,80,"2017-01-04",10.055,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.23152390509512
"171",2017-01-04 13:00:00,86,"2017-01-04",10.67,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.09513410998435
"173",2017-01-04 14:00:00,87,"2017-01-04",10.755,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.26568044331524
"175",2017-01-04 15:00:00,88,"2017-01-04",10.705,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.39408797843152
"179",2017-01-04 17:00:00,90,"2017-01-04",10.315,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.33368248931953
"181",2017-01-04 18:00:00,91,"2017-01-04",10.255,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.10388073602569
"197",2017-01-05 02:00:00,99,"2017-01-05",9.99,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.15962980232957
"199",2017-01-05 03:00:00,100,"2017-01-05",10.125,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.46271982912155
"201",2017-01-05 04:00:00,101,"2017-01-05",10.205,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.68709773599427
"203",2017-01-05 05:00:00,102,"2017-01-05",9.925,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.77904373468591
"205",2017-01-05 06:00:00,103,"2017-01-05",9.875,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.70819974966475
"207",2017-01-05 07:00:00,104,"2017-01-05",9.865,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.49005410343947
"209",2017-01-05 08:00:00,105,"2017-01-05",9.79,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.18921873694725
"223",2017-01-05 15:00:00,112,"2017-01-05",10.925,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.10133984165508
"225",2017-01-05 16:00:00,113,"2017-01-05",10.81,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.25050510930131
"229",2017-01-05 18:00:00,115,"2017-01-05",9.95,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.27934492269882
"231",2017-01-05 19:00:00,116,"2017-01-05",9.85,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.11084431546726
"247",2017-01-06 03:00:00,124,"2017-01-06",9.805,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.30399270836596
"249",2017-01-06 04:00:00,125,"2017-01-06",9.815,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.59515874342157
"251",2017-01-06 05:00:00,126,"2017-01-06",10.14,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.79981763935381
"253",2017-01-06 06:00:00,127,"2017-01-06",9.635,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.86305614623691
"255",2017-01-06 07:00:00,128,"2017-01-06",9.655,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.75356761841318
"257",2017-01-06 08:00:00,129,"2017-01-06",9.555,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.48706449803756
"259",2017-01-06 09:00:00,130,"2017-01-06",9.46,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.13140609960808
"275",2017-01-06 17:00:00,138,"2017-01-06",10.57,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.13068065143281
"279",2017-01-06 19:00:00,140,"2017-01-06",9.725,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.28255668443418
"281",2017-01-06 20:00:00,141,"2017-01-06",9.54,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.17536356094322
"295",2017-01-07 03:00:00,148,"2017-01-07",9.725,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.1179006986916
"297",2017-01-07 04:00:00,149,"2017-01-07",9.59,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.4366754605276
"299",2017-01-07 05:00:00,150,"2017-01-07",9.455,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.72160335664675
"301",2017-01-07 06:00:00,151,"2017-01-07",9.43,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.91215825319328
"303",2017-01-07 07:00:00,152,"2017-01-07",9.44,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.94892567677708
"305",2017-01-07 08:00:00,153,"2017-01-07",9.45,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.79669657865029
"307",2017-01-07 09:00:00,154,"2017-01-07",9.3,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.47169696619581
"309",2017-01-07 10:00:00,155,"2017-01-07",9.29,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.04931205736685
"325",2017-01-07 18:00:00,163,"2017-01-07",10.72,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.05578422308343
"327",2017-01-07 19:00:00,164,"2017-01-07",10.52,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.25296711527246
"329",2017-01-07 20:00:00,165,"2017-01-07",10.23,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.3388799613462
"331",2017-01-07 21:00:00,166,"2017-01-07",9.76,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.2787094360661
"333",2017-01-07 22:00:00,167,"2017-01-07",9.64,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.09207144320843
"345",2017-01-08 04:00:00,173,"2017-01-08",10.08,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.2344339535607
"347",2017-01-08 05:00:00,174,"2017-01-08",10.23,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.55699864148245
"349",2017-01-08 06:00:00,175,"2017-01-08",9.98,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.84109576876108
"351",2017-01-08 07:00:00,176,"2017-01-08",9.76,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",2.02057064218435
"353",2017-01-08 08:00:00,177,"2017-01-08",9.775,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",2.02878089069507
"355",2017-01-08 09:00:00,178,"2017-01-08",9.9,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.82628471656291
"357",2017-01-08 10:00:00,179,"2017-01-08",10.07,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.43344398309366
"375",2017-01-08 19:00:00,188,"2017-01-08",10.885,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.03768689933406
"377",2017-01-08 20:00:00,189,"2017-01-08",10.815,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.29816450699333
"379",2017-01-08 21:00:00,190,"2017-01-08",10.79,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.4322732180291
"381",2017-01-08 22:00:00,191,"2017-01-08",10.68,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.39461213223821
"383",2017-01-08 23:00:00,192,"2017-01-08",10.62,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.20548563279245
"395",2017-01-09 05:00:00,198,"2017-01-09",10.62,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.33315870733344
"397",2017-01-09 06:00:00,199,"2017-01-09",10.79,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.66399130283926
"399",2017-01-09 07:00:00,200,"2017-01-09",10.82,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.94983735182026
"401",2017-01-09 08:00:00,201,"2017-01-09",10.77,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",2.11676754082502
"403",2017-01-09 09:00:00,202,"2017-01-09",10.52,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",2.09014399214706
"405",2017-01-09 10:00:00,203,"2017-01-09",10.55,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.82921864356976
"407",2017-01-09 11:00:00,204,"2017-01-09",10.555,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.36441248117404
"427",2017-01-09 21:00:00,214,"2017-01-09",10.76,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.38361244335747
"429",2017-01-09 22:00:00,215,"2017-01-09",10.745,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.53970838926797
"431",2017-01-09 23:00:00,216,"2017-01-09",10.615,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.49633939760772
"433",2017-01-10 00:00:00,217,"2017-01-10",10.19,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.28351541379222
"435",2017-01-10 01:00:00,218,"2017-01-10",10.18,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.00558635619212
"443",2017-01-10 05:00:00,222,"2017-01-10",10.595,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.08910060012358
"445",2017-01-10 06:00:00,223,"2017-01-10",10.895,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.41503640084474
"447",2017-01-10 07:00:00,224,"2017-01-10",10.915,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.75516125735552
"449",2017-01-10 08:00:00,225,"2017-01-10",11.005,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",2.04046294548187
"451",2017-01-10 09:00:00,226,"2017-01-10",10.955,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",2.18832007385351
"453",2017-01-10 10:00:00,227,"2017-01-10",10.86,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",2.1181953086462
"455",2017-01-10 11:00:00,228,"2017-01-10",10.71,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.79375585506398
"457",2017-01-10 12:00:00,229,"2017-01-10",10.63,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.26175117332281
"475",2017-01-10 21:00:00,238,"2017-01-10",11.2,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.16283979840199
"477",2017-01-10 22:00:00,239,"2017-01-10",10.99,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.48965737916263
"479",2017-01-10 23:00:00,240,"2017-01-10",10.94,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.63749061909213
"481",2017-01-11 00:00:00,241,"2017-01-11",10.98,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.56356316711367
"485",2017-01-11 02:00:00,243,"2017-01-11",10.59,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.01350467705364
"493",2017-01-11 06:00:00,247,"2017-01-11",10.83,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.14170251050353
"495",2017-01-11 07:00:00,248,"2017-01-11",11.055,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.48012159873311
"497",2017-01-11 08:00:00,249,"2017-01-11",11.14,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.82540633659073
"499",2017-01-11 09:00:00,250,"2017-01-11",11.2,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",2.10231327392714
"501",2017-01-11 10:00:00,251,"2017-01-11",11.005,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",2.22076596245283
"503",2017-01-11 11:00:00,252,"2017-01-11",10.98,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",2.09930616643493
"505",2017-01-11 12:00:00,253,"2017-01-11",10.785,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.71302346021503
"507",2017-01-11 13:00:00,254,"2017-01-11",10.71,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.12932606541794
"525",2017-01-11 22:00:00,263,"2017-01-11",10.79,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.2782788937091
"527",2017-01-11 23:00:00,264,"2017-01-11",10.63,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.59502518582531
"529",2017-01-12 00:00:00,265,"2017-01-12",10.4,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.7072144558823
"531",2017-01-12 01:00:00,266,"2017-01-12",10.35,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.58681900537731
"533",2017-01-12 02:00:00,267,"2017-01-12",10.35,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.30142165563435
"545",2017-01-12 08:00:00,273,"2017-01-12",11.06,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.52592026413988
"547",2017-01-12 09:00:00,274,"2017-01-12",11.19,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.86684588971527
"549",2017-01-12 10:00:00,275,"2017-01-12",11.225,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",2.1232010973724
"551",2017-01-12 11:00:00,276,"2017-01-12",11.03,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",2.20117870245711
"555",2017-01-12 13:00:00,278,"2017-01-12",10.32,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.5881028954435
"575",2017-01-12 23:00:00,288,"2017-01-12",10.51,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.40286589139997
"577",2017-01-13 00:00:00,289,"2017-01-13",10.44,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.68195498780236
"579",2017-01-13 01:00:00,290,"2017-01-13",10.42,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.73955324423697
"581",2017-01-13 02:00:00,291,"2017-01-13",10.33,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.56828968005178
"583",2017-01-13 03:00:00,292,"2017-01-13",10.3,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.254954558075
"593",2017-01-13 08:00:00,297,"2017-01-13",10.84,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.20682690829612
"595",2017-01-13 09:00:00,298,"2017-01-13",11.065,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.54688369217146
"597",2017-01-13 10:00:00,299,"2017-01-13",11.15,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.87018690920639
"599",2017-01-13 11:00:00,300,"2017-01-13",11.055,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",2.09267585348694
"603",2017-01-13 13:00:00,302,"2017-01-13",10.06,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.89705451407042
"605",2017-01-13 14:00:00,303,"2017-01-13",10.045,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.42972984397379
"623",2017-01-13 23:00:00,312,"2017-01-13",10.635,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.13715453688106
"625",2017-01-14 00:00:00,313,"2017-01-14",10.425,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.51828990319169
"627",2017-01-14 01:00:00,314,"2017-01-14",10.465,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.73968324694734
"629",2017-01-14 02:00:00,315,"2017-01-14",10.405,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.73497243548404
"631",2017-01-14 03:00:00,316,"2017-01-14",10.3,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.51899988566932
"633",2017-01-14 04:00:00,317,"2017-01-14",10.27,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.19216334915129
"643",2017-01-14 09:00:00,322,"2017-01-14",10.975,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.21353516577913
"645",2017-01-14 10:00:00,323,"2017-01-14",11.145,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.53566211571017
"647",2017-01-14 11:00:00,324,"2017-01-14",11.25,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.8276360586113
"649",2017-01-14 12:00:00,325,"2017-01-14",10.96,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",2.00606267606485
"651",2017-01-14 13:00:00,326,"2017-01-14",10.6,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.98744231189258
"653",2017-01-14 14:00:00,327,"2017-01-14",10.02,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.72695068316472
"655",2017-01-14 15:00:00,328,"2017-01-14",10.04,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.25767690464681
"673",2017-01-15 00:00:00,337,"2017-01-15",10.505,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.28504113698041
"675",2017-01-15 01:00:00,338,"2017-01-15",10.38,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.61163373111743
"677",2017-01-15 02:00:00,339,"2017-01-15",10.36,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.76558870383628
"679",2017-01-15 03:00:00,340,"2017-01-15",10.18,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.70157284580948
"681",2017-01-15 04:00:00,341,"2017-01-15",10.1,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.45373126734778
"683",2017-01-15 05:00:00,342,"2017-01-15",10.075,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.12801399648477
"693",2017-01-15 10:00:00,347,"2017-01-15",11.13,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.19415882442961
"695",2017-01-15 11:00:00,348,"2017-01-15",11.29,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.48598750203377
"697",2017-01-15 12:00:00,349,"2017-01-15",11.305,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.73658064763796
"699",2017-01-15 13:00:00,350,"2017-01-15",11.2,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.86793299226006
"701",2017-01-15 14:00:00,351,"2017-01-15",10.32,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.81015287361841
"703",2017-01-15 15:00:00,352,"2017-01-15",10.005,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.53754966153989
"705",2017-01-15 16:00:00,353,"2017-01-15",9.98,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.0973714968917
"721",2017-01-16 00:00:00,361,"2017-01-16",10.255,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.05044708547491
"723",2017-01-16 01:00:00,362,"2017-01-16",10.295,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.41491746167923
"725",2017-01-16 02:00:00,363,"2017-01-16",10.195,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.67711646424466
"727",2017-01-16 03:00:00,364,"2017-01-16",10.07,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.76410168959526
"729",2017-01-16 04:00:00,365,"2017-01-16",9.95,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.65114892905341
"731",2017-01-16 05:00:00,366,"2017-01-16",9.83,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.38558527916221
"733",2017-01-16 06:00:00,367,"2017-01-16",9.82,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.07090878400811
"743",2017-01-16 11:00:00,372,"2017-01-16",11.22,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.14252170095898
"745",2017-01-16 12:00:00,373,"2017-01-16",10.915,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.39624276912266
"747",2017-01-16 13:00:00,374,"2017-01-16",9.75,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.60268091193829
"749",2017-01-16 14:00:00,375,"2017-01-16",9.81,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.69351641351117
"751",2017-01-16 15:00:00,376,"2017-01-16",9.79,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.61499399110359
"753",2017-01-16 16:00:00,377,"2017-01-16",9.735,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.35760526231544
"771",2017-01-17 01:00:00,386,"2017-01-17",10.055,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.20871412469558
